#Column	usrid	(I7)	User Table identifier	(cross_match.usrid)	"[""""]"	[meta.id]	
#Column	separation	(F9.2)	Distance from master source to user source	(cross_match.separation)	"[""arcsec""]"	[pos.angDistance]	
#Column	probability	(F9.2)	Probability that master source and user source are a match	(cross_match.probability)	"[""""]"	[stat.probability]	
#Column	name	(A22)	Source name in the format '2CXO Jhhmmss.s{+|-}ddmmss[X]'	(master_source.name)	"[""""]"	[]	
#Column	acis_time	(F9.1)	Total livetime for all ACIS imaging observations contributing to the Master Sources Table record of the source	(master_source.acis_time)	"[""s""]"	[]	
#Column	acis_num	(I4)	Total number of ACIS imaging observations contributing to the Master Sources Table record of the source	(master_source.acis_num)	"[""""]"	[]	
#Column	hrc_num	(I4)	Total number of HRC imaging observations contributing to the Master Sources Table record of the source	(master_source.hrc_num)	"[""""]"	[]	
#Column	hrc_time	(F9.1)	Total livetime for all HRC imaging observations contributing to the Master Sources Table record of the source	(master_source.hrc_time)	"[""s""]"	[]	
usrid	separation	probability	name	acis_time	acis_num	hrc_num	hrc_time
1	1.67	0	2CXO J095753.4+024735	49435.3	1	0	         
2	1.05	0.01	2CXO J163618.1+410038	73385.2	1	0	         
3	1.43	0.59	2CXO J222906.0-080251	7036.2	1	0	         
4	1.71	0	2CXO J082515.0+115752	5103.2	1	0	         
5	1.17	0	2CXO J151451.7+311654	4136.4	1	0	         
6	1.41	0	2CXO J095915.0+014926	244436.3	5	0	         
7	1.34	0.16	2CXO J004314.0-092145	9633.3	1	0	         
8	0.88	0.01	2CXO J125955.6+124153	38103.3	2	0	         
9	0.1	0.85	2CXO J151451.3+552602	70986.7	2	0	         
10	0.92	0.13	2CXO J003345.4-433930	29569.5	1	0	         
11	0.84	0.02	2CXO J003516.1-432451	55410.5	2	0	         
12	1.43	0	2CXO J032754.1+023342	115283.5	4	0	         
13	0.83	0.01	2CXO J105416.4+512326	4979.3	1	0	         
14	1.39	0	2CXO J100213.3+023351	194743.5	8	0	         
15	0.17	0.56	2CXO J105655.6-034030	89173.1	1	0	         
16	1.17	0	2CXO J145125.9+580840	49407.4	1	0	         
17	0.87	0.39	2CXO J104808.2+591914	136535.9	2	0	         
18	0.85	0	2CXO J214832.2+044215	7516.4	1	0	         
19	0.86	0.02	2CXO J173550.2+535307	5420.5	1	0	         
20	1.64	0	2CXO J084106.7+031206	1538.9	1	0	         
21	0.2	0.51	2CXO J234820.8+010024	23231.7	1	0	         
22	0.88	0.27	2CXO J122546.7+095519	5089.9	1	0	         
23	1.33	0.02	2CXO J213654.1+002029	24846.2	1	0	         
24	0.81	0.47	2CXO J103449.6+572544	78938.6	2	0	         
25	1.39	0	2CXO J141949.3+060654	9921.9	1	0	         
26	1.71	0	2CXO J085723.9+090348	3707.8	1	0	         
27	0.95	0	2CXO J105904.7+121023	4121.1	1	0	         
28	1.43	0	2CXO J100110.1+023242	185765.6	7	0	         
29	1.43	0.24	2CXO J161637.2+344552	20865.7	1	0	         
30	0.27	0.41	2CXO J100149.6+023853	189616.9	6	0	         
31	0.99	0	2CXO J145051.3-000129	25741.2	1	0	         
32	0.11	0.7	2CXO J094133.7+594811	4156.5	1	0	         
33	0.94	0	2CXO J115307.4+440219	49338.4	1	0	         
34	1.71	0	2CXO J011227.5-011221	5879.8	1	0	         
35	0.98	0.03	2CXO J025756.5+130831	48630.7	1	0	         
36	0.14	0.86	2CXO J033817.3-050544	59739.4	1	0	         
37	0.91	0	2CXO J123636.6+621346	1797266.2	17	0	         
38	1.29	0	2CXO J221527.2-161133	3120.2	1	0	         
39	0.21	0.81	2CXO J143528.0+350928	4708.2	1	0	         
40	0.94	0.11	2CXO J003424.3-432036	60284.5	2	0	         
41	1.64	0	2CXO J095846.9+023255	238893.9	5	0	         
42	0.93	0	2CXO J151106.4+054122	112348.5	4	0	         
43	1.67	0	2CXO J020039.1-084554	72717.2	3	0	         
44	1.35	0.55	2CXO J142939.0+353557	22801.6	3	0	         
45	0.91	0.31	2CXO J092913.1+380738	3987.3	1	0	         
46	0.94	0	2CXO J051100.5-220154	5294.4	1	0	         
47	1.31	0	2CXO J101956.5+274402	1468.6	1	0	         
48	0.28	0.41	2CXO J084136.3+130857	64377.6	2	0	         
49	0.05	0.88	2CXO J044213.2+020438	43631.4	1	0	         
50	0.99	0.29	2CXO J132531.8+301714	50402.1	2	0	         
51	0.98	0	2CXO J095834.2+022456	237261.1	5	0	         
52	1.55	0.01	2CXO J221414.0+135900	19892.8	1	0	         
53	1.78	0.15	2CXO J022631.3+002506	8657.1	1	0	         
54	0.87	0	2CXO J111518.5+531452	33632.9	3	0	         
55	0.2	0.55	2CXO J171520.1+601313	59339.8	2	0	         
56	0.97	0	2CXO J095852.2+120244	1559.7	1	0	         
57	0.15	0.77	2CXO J100311.3+014701	96002.5	3	0	         
58	0.13	0.66	2CXO J095831.6+022217	284253.4	6	0	         
59	0.85	0.51	2CXO J123849.9+530639	19804.1	1	0	         
60	1.5	0.01	2CXO J142857.9+344149	39218.8	3	0	         
61	0.08	0.81	2CXO J081839.0+313100	5962.7	1	0	         
62	1	0	2CXO J120913.6+433920	3018.1	1	0	         
63	0.96	0	2CXO J125131.8-262706	9920.6	1	0	         
64	1.55	0	2CXO J235939.7-250056	4710.7	1	0	         
65	1.65	0	2CXO J033208.2-274153	4893966.6	71	0	         
